t,count,max,mean,min,stddev,p50,p75,p95,p99,p999,metricName,pkRangeId
1657818569207,983,27736.875,4857.644455747711,3126.0,2325.062106025978,4094.0,4708.125,9941.375,12410.375,27736.875,backendLatency,11
1657818569207,3308,26714.875,5203.903227025393,3027.0,2025.643648286711,4585.125,4969.125,10111.375,13609.375,26714.875,backendLatency,12
1657818569207,1089,21245.875,6893.735192837466,3175.0,3994.4448937143243,4671.125,9424.375,15518.375,18851.875,21245.875,backendLatency,13
1657818569207,4722,159087.875,5146.221833968657,2987.0,5574.713213603103,4466.125,4845.125,9700.375,15654.375,159087.875,backendLatency,14
1657818569207,3392,39907.875,5497.959831957547,3233.0,2694.1101352951223,4632.125,5475.125,11549.375,16659.875,39907.875,backendLatency,15
1657818569207,2303,37091.875,5206.760909683022,3165.0,2419.7569337607183,4571.125,4839.125,9742.375,13572.375,37091.875,backendLatency,16
1657818569207,3455,32283.875,5953.783393632417,3028.0,3042.1212478833813,4721.125,5837.125,12557.375,16964.875,32283.875,backendLatency,0
1657818569207,1067,90139.875,7345.161785379569,3088.0,5706.978360855229,4732.125,10054.375,15236.375,18358.875,90139.875,backendLatency,1
1657818569207,1490,24313.875,6249.656879194631,3176.0,3653.8162312479812,4490.125,7559.125,14383.375,18712.875,24313.875,backendLatency,2
1657818569207,797,65011.875,6043.343632371393,3373.0,4962.437328140682,4448.125,6360.125,13021.375,17412.875,65011.875,backendLatency,3
1657818569207,3189,22331.875,5777.834391658827,2830.0,3053.0722310957935,4598.125,4921.125,12784.375,17653.875,22331.875,backendLatency,4
1657818569207,1759,16907.875,4777.389710062535,2769.0,2202.2602916596225,4042.0,4602.125,10266.375,14382.375,16907.875,backendLatency,5
1657818569207,2367,86939.875,6595.383027038445,3015.0,5319.809202502852,4477.125,8358.375,15328.375,19593.875,86939.875,backendLatency,6
1657818569207,1420,33699.875,4924.939348591549,3110.0,2367.0792646888885,4173.125,4763.125,9902.375,14201.375,33699.875,backendLatency,7
1657818569207,1495,18679.875,6442.34397993311,3246.0,3783.354971168461,4451.125,8887.375,15034.375,17710.875,18679.875,backendLatency,8
1657818569207,8257,21843.875,5111.559267893908,2856.0,2275.1361399129355,4526.125,4731.125,10186.375,15913.375,21843.875,backendLatency,9
1657818569207,1570,22414.875,5854.343232484076,2866.0,2729.346878102369,4578.125,6980.125,11345.375,14761.375,22414.875,backendLatency,10
1657818629207,656,15435.375,5005.417492378048,3254.0,1679.4816414918262,4563.125,4812.125,9653.375,11386.375,15435.375,backendLatency,11
