t,count,max,mean,min,stddev,p50,p75,p95,p99,p999,metricName,pkRangeId
1657818569207,983,74123.998046875,425.66586462042216,32.0,4342.765566210726,73.001953125,85.001953125,182.005859375,4226.248046875,74123.998046875,channelAcquisitionStartedLatency,11
1657818569207,3308,32180.998046875,127.16406840424727,37.0,866.3249479779544,74.001953125,89.001953125,185.005859375,417.013671875,32180.998046875,channelAcquisitionStartedLatency,12
1657818569207,1089,63935.998046875,581.1661878013085,40.0,4979.003891250111,74.001953125,87.001953125,195.005859375,7869.248046875,63935.998046875,channelAcquisitionStartedLatency,13
1657818569207,4722,38835.9990234375,117.97051265188215,31.0,895.0416917465707,73.0029296875,84.0029296875,165.0068359375,308.0146484375,38835.9990234375,channelAcquisitionStartedLatency,14
1657818569207,3392,36427.99951171875,113.1635860227189,8.0,785.8477496625379,71.00341796875,86.00341796875,169.00732421875,370.01513671875,36427.99951171875,channelAcquisitionStartedLatency,15
1657818569207,2303,59261.998046875,207.37607281942033,36.0,2122.2088962631997,75.001953125,89.001953125,180.005859375,440.013671875,59261.998046875,channelAcquisitionStartedLatency,16
1657818569207,3455,56147.998046875,167.1235986116136,40.0,1494.2700690765373,74.001953125,86.001953125,180.005859375,366.013671875,56147.998046875,channelAcquisitionStartedLatency,0
1657818569207,1067,38693.9990234375,379.5399319792643,28.0,2964.7540727560995,72.0029296875,86.0029296875,194.0068359375,11083.4990234375,38693.9990234375,channelAcquisitionStartedLatency,1
1657818569207,1490,48315.998046875,285.3140572567114,39.0,2786.5114551532456,73.001953125,85.001953125,173.005859375,766.029296875,48315.998046875,channelAcquisitionStartedLatency,2
1657818569207,797,42609.998046875,289.3745882998745,38.0,2485.7210432157653,74.001953125,90.001953125,222.005859375,1685.060546875,42609.998046875,channelAcquisitionStartedLatency,3
1657818569207,3189,41303.9990234375,162.54464045106224,24.0,1503.705673230229,72.0029296875,84.0029296875,176.0068359375,387.0146484375,41303.9990234375,channelAcquisitionStartedLatency,4
1657818569207,1759,44043.999755859375,228.96989283905984,7.0,1977.0638610653507,78.003662109375,98.003662109375,199.007568359375,882.031005859375,44043.999755859375,channelAcquisitionStartedLatency,5
1657818569207,2367,47239.998046875,186.42171079557457,35.0,1593.654854970716,77.001953125,94.001953125,202.005859375,826.029296875,47239.998046875,channelAcquisitionStartedLatency,6
1657818569207,1420,55535.9990234375,249.7723935409331,29.0,2484.6770918712737,72.0029296875,83.0029296875,174.0068359375,499.0146484375,55535.9990234375,channelAcquisitionStartedLatency,7
1657818569207,1495,91759.998046875,412.2436533235786,42.0,4682.500269019227,73.001953125,83.001953125,169.005859375,1241.060546875,91759.998046875,channelAcquisitionStartedLatency,8
1657818569207,8257,37283.9990234375,115.84307171661166,30.0,934.784608734303,73.0029296875,85.0029296875,174.0068359375,293.0146484375,37283.9990234375,channelAcquisitionStartedLatency,9
1657818569207,1570,43123.998046875,289.98379403861463,39.0,2472.4614006048937,73.001953125,85.001953125,178.005859375,1205.060546875,43123.998046875,channelAcquisitionStartedLatency,10
1657818629207,656,467.013671875,78.6402617663872,35.0,39.26732615968977,70.001953125,79.001953125,131.005859375,247.005859375,467.013671875,channelAcquisitionStartedLatency,11
1657818629207,662,578.029296875,82.18747934762085,40.0,40.76164809240351,72.001953125,83.001953125,158.005859375,239.005859375,578.029296875,channelAcquisitionStartedLatency,12
1657818629207,300,278.013671875,82.525078125,45.0,31.97735425864838,75.001953125,85.001953125,147.005859375,200.005859375,278.013671875,channelAcquisitionStartedLatency,13
1657818629207,881,802.029296875,83.46708286038593,38.0,46.27859730377112,71.001953125,85.001953125,160.005859375,276.013671875,802.029296875,channelAcquisitionStartedLatency,14
1657818629207,1604,387.015380859375,75.82530946802915,5.0,34.49448289838977,69.003662109375,83.003662109375,141.007568359375,225.007568359375,387.015380859375,channelAcquisitionStartedLatency,15
1657818629207,202,22809.998046875,195.08327854269803,42.0,1595.5011000558925,71.001953125,86.001953125,173.005859375,223.005859375,22809.998046875,channelAcquisitionStartedLatency,16
1657818629207,1199,419.013671875,81.8131857928482,42.0,38.10230554146575,72.001953125,83.001953125,151.005859375,267.013671875,419.013671875,channelAcquisitionStartedLatency,0
1657818629207,499,459.0146484375,78.43665847319639,25.0,43.62993074463158,68.0029296875,82.0029296875,150.0068359375,285.0146484375,459.0146484375,channelAcquisitionStartedLatency,1
1657818629207,814,535.029296875,81.36652526105651,41.0,38.041303487511364,72.001953125,83.001953125,154.005859375,214.005859375,535.029296875,channelAcquisitionStartedLatency,2
1657818629207,405,12087.498046875,112.03190586419753,42.0,597.1913268566844,70.001953125,82.001953125,171.005859375,252.005859375,12087.498046875,channelAcquisitionStartedLatency,3
1657818629207,757,333.0146484375,77.78645790331902,24.0,36.70174471107156,70.0029296875,83.0029296875,141.0068359375,247.0068359375,333.0146484375,channelAcquisitionStartedLatency,4
1657818629207,514,321.0146484375,76.51148315904669,30.0,34.518218095566795,71.0029296875,81.0029296875,142.0068359375,234.0068359375,321.0146484375,channelAcquisitionStartedLatency,5
1657818629207,793,2834.123046875,87.58317652506305,32.0,105.94482292675788,73.001953125,85.001953125,166.005859375,294.013671875,2834.123046875,channelAcquisitionStartedLatency,6
1657818629207,657,397.013671875,80.60897664573821,33.0,37.63685219196715,71.001953125,80.001953125,155.005859375,259.013671875,397.013671875,channelAcquisitionStartedLatency,7
1657818629207,704,403.0146484375,80.99049100008878,31.0,35.39112038833845,73.0029296875,83.0029296875,154.0068359375,231.0068359375,403.0146484375,channelAcquisitionStartedLatency,8
1657818629207,1612,622.0302734375,80.0850075847162,27.0,39.10404839830697,71.0029296875,81.0029296875,155.0068359375,255.0068359375,622.0302734375,channelAcquisitionStartedLatency,9
1657818629207,573,11423.498046875,100.10330770069808,39.0,475.21604034405607,71.001953125,81.001953125,152.005859375,290.013671875,11423.498046875,channelAcquisitionStartedLatency,10
1657818689207,350,64267.9990234375,340.38049665178573,31.0,3679.7044863292863,70.0029296875,82.0029296875,189.0068359375,458.0146484375,64267.9990234375,channelAcquisitionStartedLatency,11
