t,count,max,mean,min,stddev,p50,p75,p95,p99,p999,metricName,pkRangeId
1657818569207,983,20815.9990234375,194.10818285859614,31.0,967.026749529332,68.0029296875,79.0029296875,174.0068359375,5566.2490234375,20815.9990234375,pipelinedLatency,11
1657818569207,3308,14809.4990234375,112.61955451273428,23.0,463.615324635369,68.0029296875,81.0029296875,156.0068359375,611.0302734375,14809.4990234375,pipelinedLatency,12
1657818569207,1089,10688.4990234375,165.70241297922405,26.0,706.5352294057802,68.0029296875,80.0029296875,178.0068359375,3622.1240234375,10688.4990234375,pipelinedLatency,13
1657818569207,4722,5529.2490234375,81.9065585623147,25.0,170.91816253600635,67.0029296875,77.0029296875,113.0029296875,283.0146484375,5529.2490234375,pipelinedLatency,14
1657818569207,3392,7868.2490234375,126.15583714899027,28.0,504.0722141416672,66.0029296875,77.0029296875,155.0068359375,1655.0615234375,7868.2490234375,pipelinedLatency,15
1657818569207,2303,31436.9990234375,127.90426295185627,28.0,792.1269989127052,68.0029296875,79.0029296875,127.0029296875,738.0302734375,31436.9990234375,pipelinedLatency,16
1657818569207,3455,26173.9990234375,116.53524839453691,26.0,616.6021543725474,68.0029296875,78.0029296875,125.0029296875,801.0302734375,26173.9990234375,pipelinedLatency,0
1657818569207,1067,13423.4990234375,151.0641593325328,31.0,691.6429283853182,66.0029296875,77.0029296875,176.0068359375,3139.1240234375,13423.4990234375,pipelinedLatency,1
1657818569207,1490,11885.498046875,160.08377857592282,33.0,734.2753687931898,68.001953125,77.001953125,135.005859375,4493.248046875,11885.498046875,pipelinedLatency,2
1657818569207,797,8736.4990234375,231.5258133528074,29.0,909.1936240421954,69.0029296875,85.0029296875,392.0146484375,6395.2490234375,8736.4990234375,pipelinedLatency,3
1657818569207,3189,11165.4990234375,107.8889190013523,30.0,426.51445310118254,67.0029296875,77.0029296875,122.0029296875,590.0302734375,11165.4990234375,pipelinedLatency,4
1657818569207,1759,30596.9990234375,167.61876421262082,31.0,929.3003024528598,72.0029296875,90.0029296875,181.0068359375,3140.1240234375,30596.9990234375,pipelinedLatency,5
1657818569207,2367,8404.4990234375,191.21547622583967,29.0,752.6904715977709,71.0029296875,86.0029296875,268.0146484375,5521.2490234375,8404.4990234375,pipelinedLatency,6
1657818569207,1420,32851.9990234375,161.67705697073063,29.0,1054.014481308313,68.0029296875,79.0029296875,135.0068359375,3982.1240234375,32851.9990234375,pipelinedLatency,7
1657818569207,1495,33845.998046875,189.3392845944816,35.0,1201.578924282308,68.001953125,79.001953125,139.005859375,5308.248046875,33845.998046875,pipelinedLatency,8
1657818569207,8257,9799.4990234375,85.61416946416676,25.0,230.82494744188853,68.0029296875,78.0029296875,114.0029296875,243.0068359375,9799.4990234375,pipelinedLatency,9
1657818569207,1570,7320.248046875,111.308494227707,36.0,411.57705073918464,67.001953125,77.001953125,126.001953125,1180.060546875,7320.248046875,pipelinedLatency,10
1657818629207,656,7089.248046875,144.2695461366235,32.0,620.8061333190482,66.001953125,75.001953125,113.001953125,4694.248046875,7089.248046875,pipelinedLatency,11
1657818629207,662,7326.2490234375,113.60370739709215,28.0,491.79977586646856,67.0029296875,78.0029296875,106.0029296875,347.0146484375,7326.2490234375,pipelinedLatency,12
1657818629207,300,7944.248046875,244.50143880208333,36.0,1017.8468683273992,67.001953125,77.001953125,112.001953125,6368.248046875,7944.248046875,pipelinedLatency,13
1657818629207,881,5569.248046875,84.32506118757094,35.0,246.37928419876312,66.001953125,76.001953125,102.001953125,195.005859375,5569.248046875,pipelinedLatency,14
1657818629207,1604,6221.2490234375,108.61159479231608,27.0,450.6052178315166,65.0029296875,74.0029296875,101.0029296875,269.0146484375,6221.2490234375,pipelinedLatency,15
1657818629207,202,8833.498046875,227.96515315594058,36.0,1029.4236398535986,65.001953125,77.001953125,109.001953125,5791.248046875,8833.498046875,pipelinedLatency,16
1657818629207,1199,7224.2490234375,124.34392592785655,30.0,533.9513802099133,67.0029296875,77.0029296875,105.0029296875,4019.1240234375,7224.2490234375,pipelinedLatency,0
1657818629207,499,7076.2490234375,128.96475959731964,29.0,553.9387747347452,66.0029296875,76.0029296875,114.0029296875,3393.1240234375,7076.2490234375,pipelinedLatency,1
1657818629207,814,6990.2490234375,123.81114193028256,30.0,539.2193142908774,67.0029296875,77.0029296875,109.0029296875,304.0146484375,6990.2490234375,pipelinedLatency,2
1657818629207,405,7901.248046875,161.45475983796297,35.0,756.3679911691065,66.001953125,74.001953125,145.005859375,5363.248046875,7901.248046875,pipelinedLatency,3
1657818629207,757,8420.498046875,117.31149892668428,33.0,539.329288970389,67.001953125,76.001953125,100.001953125,261.013671875,8420.498046875,pipelinedLatency,4
1657818629207,514,7836.2490234375,158.9897821923638,26.0,738.7556218319924,66.0029296875,75.0029296875,135.0068359375,5208.2490234375,7836.2490234375,pipelinedLatency,5
1657818629207,793,7030.2490234375,147.86578977183166,28.0,640.4009985841667,68.0029296875,77.0029296875,109.0029296875,4987.2490234375,7030.2490234375,pipelinedLatency,6
1657818629207,657,7039.2490234375,112.57026344891553,26.0,487.8860110976042,68.0029296875,76.0029296875,99.0029296875,397.0146484375,7039.2490234375,pipelinedLatency,7
1657818629207,704,9707.498046875,131.78968117453834,36.0,627.3305466142893,68.001953125,78.001953125,102.001953125,237.005859375,9707.498046875,pipelinedLatency,8
1657818629207,1612,8655.498046875,98.65325125038771,39.0,419.7525731953141,67.001953125,76.001953125,101.001953125,215.005859375,8655.498046875,pipelinedLatency,9
1657818629207,573,4648.2490234375,98.05633896433245,31.0,293.9708369229216,67.0029296875,76.0029296875,106.0029296875,964.0302734375,4648.2490234375,pipelinedLatency,10
1657818689207,350,6889.248046875,228.778828125,37.0,938.9824329145555,66.001953125,77.001953125,147.005859375,6068.248046875,6889.248046875,pipelinedLatency,11
1657818689207,578,6496.2490234375,128.7070430768815,26.0,548.4683962777643,67.0029296875,77.0029296875,111.0029296875,3504.1240234375,6496.2490234375,pipelinedLatency,12
1657818689207,253,6970.248046875,271.3177649456522,36.0,1022.1640030235403,65.001953125,74.001953125,180.005859375,5746.248046875,6970.248046875,pipelinedLatency,13
1657818689207,1178,5429.248046875,79.68557008701188,32.0,189.90466789594132,65.001953125,75.001953125,109.001953125,195.005859375,5429.248046875,pipelinedLatency,14
1657818689207,1356,8011.2490234375,125.46297776663901,31.0,543.034892984374,64.0029296875,74.0029296875,108.0029296875,3586.1240234375,8011.2490234375,pipelinedLatency,15
1657818689207,117,5896.248046875,304.074702857906,40.0,1115.7598269715431,64.001953125,74.001953125,228.005859375,5613.248046875,5896.248046875,pipelinedLatency,16
1657818689207,1434,6940.248046875,106.51248011462691,37.0,435.4458982200189,66.001953125,76.001953125,100.001953125,262.013671875,6940.248046875,pipelinedLatency,0
1657818689207,423,6691.248046875,85.17166722074468,33.0,323.17103788279564,64.001953125,74.001953125,104.001953125,177.005859375,6691.248046875,pipelinedLatency,1
1657818689207,899,6320.2490234375,109.30059984183815,29.0,449.89509398703143,67.0029296875,76.0029296875,99.0029296875,313.0146484375,6320.2490234375,pipelinedLatency,2
1657818689207,339,5841.248046875,92.61527470501476,32.0,335.0419810526283,65.001953125,74.001953125,109.001953125,200.005859375,5841.248046875,pipelinedLatency,3
1657818689207,750,6412.248046875,142.33751822916668,32.0,617.367725874124,65.001953125,74.001953125,102.001953125,4918.248046875,6412.248046875,pipelinedLatency,4
1657818689207,635,6638.248046875,104.50111343503937,34.0,447.57013359987116,65.001953125,75.001953125,104.001953125,185.005859375,6638.248046875,pipelinedLatency,5
1657818689207,870,8509.4990234375,227.93944975754312,31.0,971.399585818854,67.0029296875,79.0029296875,143.0068359375,6273.2490234375,8509.4990234375,pipelinedLatency,6
1657818689207,553,6537.2490234375,113.23940085330018,31.0,483.8625418729166,67.0029296875,76.0029296875,98.0029296875,1141.0615234375,6537.2490234375,pipelinedLatency,7
1657818689207,619,7260.248046875,191.12669754644588,35.0,814.4416720948261,68.001953125,78.001953125,138.005859375,5458.248046875,7260.248046875,pipelinedLatency,8
1657818689207,1558,6577.2490234375,96.4393246299342,31.0,366.003772045754,66.0029296875,76.0029296875,102.0029296875,226.0068359375,6577.2490234375,pipelinedLatency,9
1657818689207,427,5851.2490234375,101.62058145491804,30.0,388.78019016821673,65.0029296875,74.0029296875,98.0029296875,220.0068359375,5851.2490234375,pipelinedLatency,10
1657818749207,393,6153.248046875,219.32268308683206,35.0,873.4401895017808,68.001953125,79.001953125,176.005859375,5832.248046875,6153.248046875,pipelinedLatency,11
1657818749207,710,6074.248046875,91.7961075044014,34.0,341.41796658442786,66.001953125,76.001953125,100.001953125,180.005859375,6074.248046875,pipelinedLatency,12
1657818749207,394,6553.2490234375,157.31819083121826,29.0,709.0610587097922,66.0029296875,74.0029296875,99.0029296875,5847.2490234375,6553.2490234375,pipelinedLatency,13
1657818749207,1022,5312.2490234375,76.70134865001224,28.0,167.17286753014324,65.0029296875,77.0029296875,109.0029296875,220.0068359375,5312.2490234375,pipelinedLatency,14
1657818749207,995,6370.2490234375,101.5439374607412,30.0,400.09676292158997,65.0029296875,75.0029296875,111.0029296875,324.0146484375,6370.2490234375,pipelinedLatency,15
1657818749207,186,5561.248046875,153.3902364751344,34.0,655.0567254274594,65.001953125,76.001953125,120.001953125,5273.248046875,5561.248046875,pipelinedLatency,16
1657818749207,1305,6836.248046875,111.82434147509579,33.0,485.1818864658033,66.001953125,76.001953125,110.001953125,241.005859375,6836.248046875,pipelinedLatency,0
1657818749207,470,5781.248046875,98.06350149601064,33.0,384.15392841599424,65.001953125,74.001953125,98.001953125,261.013671875,5781.248046875,pipelinedLatency,1
1657818749207,595,11080.498046875,201.4327862394958,35.0,888.093222375282,66.001953125,75.001953125,147.005859375,5819.248046875,11080.498046875,pipelinedLatency,2
1657818749207,667,6427.248046875,122.12230603448276,38.0,529.7592260997632,66.001953125,75.001953125,106.001953125,666.029296875,6427.248046875,pipelinedLatency,3
1657818749207,584,6885.2490234375,141.90380859375,30.0,607.4987456681146,67.0029296875,76.0029296875,153.0068359375,4538.2490234375,6885.2490234375,pipelinedLatency,4
