t,count,max,mean,min,stddev,p50,p75,p95,p99,p999,metricName,pkRangeId
1657818569207,983,495855.5,13085.721261444558,10001.0,16843.86745354522,11310.0,12865.0,17613.5,28392.5,495855.5,requestLatency,11
1657818569207,3308,401551.5,13401.726571946796,10001.0,9950.470711765936,12151.0,14442.0,19828.5,24582.5,401551.5,requestLatency,12
1657818569207,1089,526591.5,17669.568411386594,10001.0,38747.662061983225,12276.0,15070.0,22669.5,70943.5,526591.5,requestLatency,13
1657818569207,4722,418079.5,14832.687950021178,10001.0,15076.780862504202,12131.0,14369.0,21298.5,91007.5,418079.5,requestLatency,14
1657818569207,3392,437967.5,12953.703125,10001.0,7911.985676096237,11886.0,13936.0,18589.5,25170.5,437967.5,requestLatency,15
1657818569207,2303,410511.5,13722.69518019974,10001.0,18330.69657867037,11833.0,13838.0,19044.5,31756.5,410511.5,requestLatency,16
1657818569207,3455,304511.5,13751.576555716352,10001.0,11310.702931934517,12318.0,14733.0,19990.5,26471.5,304511.5,requestLatency,0
1657818569207,1067,556127.5,16984.433458294283,10002.0,26974.771506403118,12684.0,15171.0,32077.5,91115.5,556127.5,requestLatency,1
1657818569207,1490,538559.5,14039.764093959731,10001.0,20041.612975388343,12196.0,14455.0,19233.5,24107.5,538559.5,requestLatency,2
1657818569207,797,431407.5,15159.665621079046,10003.0,22701.582411643576,11501.0,13313.0,29460.5,66187.5,431407.5,requestLatency,3
1657818569207,3189,417919.5,13787.090937597994,10002.0,14378.205133433272,12485.0,14832.0,19006.5,22375.5,417919.5,requestLatency,4
1657818569207,1759,410799.5,15588.253268902785,10003.0,17029.60978223187,12755.0,16697.5,27066.5,34779.5,410799.5,requestLatency,5
1657818569207,2367,400431.5,15641.644909167722,10004.0,17122.949321101754,13141.0,16253.0,23611.5,65313.5,400431.5,requestLatency,6
1657818569207,1420,485615.5,13221.09366197183,10003.0,17969.51776344414,11574.0,13180.0,17638.5,29029.5,485615.5,requestLatency,7
1657818569207,1495,499551.5,14753.922073578595,10002.0,27613.815122419524,12362.0,14530.0,18856.5,22563.5,499551.5,requestLatency,8
1657818569207,8257,556063.5,14252.823725323968,10001.0,9428.325821728693,13181.0,15856.0,21037.5,25639.5,556063.5,requestLatency,9
1657818569207,1570,575871.5,13773.775159235669,10002.0,21275.337574666286,11834.0,13653.0,18534.5,25599.5,575871.5,requestLatency,10
1657818629207,656,21309.5,11812.91006097561,10004.0,1808.077528376007,11269.0,12525.0,15300.0,18729.5,21309.5,requestLatency,11
1657818629207,662,23481.5,12560.753021148037,10004.0,2356.1163539214167,11841.0,13729.0,17383.5,20145.5,23481.5,requestLatency,12
1657818629207,300,25953.5,13608.836666666666,10014.0,3570.9503977683903,12302.0,15117.0,21342.5,25101.5,25953.5,requestLatency,13
1657818629207,881,25380.5,13150.255391600454,10002.0,3019.27368043427,12271.0,14509.0,19469.5,23686.5,25380.5,requestLatency,14
1657818629207,1604,24458.5,12248.72132169576,10001.0,2340.6566523459433,11451.0,13101.0,17147.5,20897.5,24458.5,requestLatency,15
1657818629207,202,27812.5,11736.759900990099,10007.0,1693.8863197930868,11393.0,12672.0,14097.0,14974.0,27812.5,requestLatency,16
1657818629207,1199,27727.5,13301.95079232694,10008.0,3155.748950861693,12330.0,14884.0,19826.5,23690.5,27727.5,requestLatency,0
1657818629207,499,22929.5,13084.806613226452,10002.0,2924.078029365836,12238.0,14222.0,19755.5,22204.5,22929.5,requestLatency,1
1657818629207,814,61289.5,14219.726658476658,10006.0,7087.713365865793,12407.0,14372.0,21749.5,56767.5,61289.5,requestLatency,2
1657818629207,405,20247.5,12128.504938271604,10003.0,2182.7051360838286,11442.0,13001.0,17189.5,19132.5,20247.5,requestLatency,3
1657818629207,757,40055.5,13725.145970937912,10011.0,4102.620575923036,12841.0,15018.0,19701.5,37091.5,40055.5,requestLatency,4
1657818629207,514,22044.5,12673.082684824903,10022.0,2522.69257197855,11964.0,13833.0,18116.5,20170.5,22044.5,requestLatency,5
1657818629207,793,23067.5,13158.6973518285,10009.0,2827.1804738525657,12341.0,14428.0,19404.5,21994.5,23067.5,requestLatency,6
1657818629207,657,25663.5,12812.990106544901,10003.0,2800.630795760826,11919.0,14087.0,18619.5,23137.5,25663.5,requestLatency,7
1657818629207,704,22394.5,12893.884232954546,10024.0,2480.851489441344,12123.0,14470.0,17911.5,20335.5,22394.5,requestLatency,8
1657818629207,1612,57919.5,14140.5908808933,10004.0,6513.404125261054,12343.0,15005.0,21099.5,52535.5,57919.5,requestLatency,9
1657818629207,573,27542.5,12886.974694589879,10002.0,2891.692119341107,11982.0,14063.0,18731.5,23692.5,27542.5,requestLatency,10
1657818689207,350,68755.5,11953.648571428572,10002.0,3753.8891327240435,11102.0,12405.0,15521.0,21150.5,68755.5,requestLatency,11
1657818689207,578,21391.5,12414.480103806229,10003.0,2371.8011265590335,11582.0,13308.0,17618.5,20269.5,21391.5,requestLatency,12
1657818689207,253,24289.5,12662.345849802372,10004.0,2559.383967372471,11810.0,14059.0,17376.5,21446.5,24289.5,requestLatency,13
1657818689207,1178,41569.5,13662.808149405773,10003.0,4490.110653576339,12107.0,14950.0,22355.5,36611.5,41569.5,requestLatency,14
1657818689207,1356,24017.5,12642.538716814159,10001.0,2502.797481385562,11827.0,13969.0,17875.5,20195.5,24017.5,requestLatency,15
1657818689207,117,46529.5,11722.405982905982,10003.0,3546.5979804244134,11080.0,11755.0,13822.0,18419.5,46529.5,requestLatency,16
1657818689207,1434,32521.5,12743.43340306834,10002.0,2971.29315251456,11725.0,13754.0,18797.5,23214.5,32521.5,requestLatency,0
1657818689207,423,34147.5,13471.995271867612,10027.0,3089.867703943589,12752.0,14869.0,18799.5,24103.5,34147.5,requestLatency,1
1657818689207,899,25123.5,13076.95828698554,10005.0,2768.44178135614,12289.0,14276.0,18584.5,23051.5,25123.5,requestLatency,2
1657818689207,339,21390.5,11959.564896755162,10005.0,2033.8247855519128,11346.0,12677.0,16172.0,20682.5,21390.5,requestLatency,3
1657818689207,750,39375.5,13225.522,10004.0,2867.8374616627075,12494.0,14740.0,18748.5,21472.5,39375.5,requestLatency,4
1657818689207,635,22513.5,12137.95748031496,10005.0,2043.253386860397,11445.0,13047.0,16587.5,19151.5,22513.5,requestLatency,5
1657818689207,870,25090.5,13417.918965517241,10001.0,2703.2806057410935,12668.0,14796.0,18968.5,21340.5,25090.5,requestLatency,6
1657818689207,553,22629.5,12218.649186256782,10001.0,2329.563629380224,11452.0,13207.0,17242.5,20964.5,22629.5,requestLatency,7
1657818689207,619,29001.5,12953.42730210016,10001.0,2639.581799508819,12185.0,14155.0,18179.5,21649.5,29001.5,requestLatency,8
1657818689207,1558,30144.5,12873.06161745828,10001.0,2606.9139892890926,12219.0,14047.0,18104.5,21461.5,30144.5,requestLatency,9
1657818689207,427,23800.5,12959.519906323185,10018.0,2703.9388060631018,11918.0,14435.0,18547.5,20674.5,23800.5,requestLatency,10
1657818749207,393,53303.5,14380.45292620865,10007.0,8540.779164326235,11710.0,13674.0,39409.5,51127.5,53303.5,requestLatency,11
1657818749207,710,24746.5,12299.894366197183,10002.0,2112.030840503013,11751.0,13445.0,16276.0,18738.5,24746.5,requestLatency,12
1657818749207,394,24463.5,13360.581218274112,10006.0,3110.322739958522,12471.0,14691.0,20406.5,23431.5,24463.5,requestLatency,13
1657818749207,1022,27803.5,13359.366438356165,10002.0,3221.406958699957,12339.0,14813.0,20210.5,23800.5,27803.5,requestLatency,14
1657818749207,995,32095.5,12533.102512562815,10001.0,2866.3247243062965,11585.0,13407.0,17931.5,25391.5,32095.5,requestLatency,15
1657818749207,186,21128.5,12258.61559139785,10014.0,2096.826013781005,11782.0,13208.0,16195.0,20809.5,21128.5,requestLatency,16
1657818749207,1305,25980.5,12895.265134099616,10002.0,2773.690410431975,12026.0,14043.0,18648.5,22474.5,25980.5,requestLatency,0
1657818749207,470,22589.5,13325.123404255319,10001.0,2870.6142134447414,12512.0,14665.0,19289.5,21252.5,22589.5,requestLatency,1
1657818749207,595,23193.5,13367.91512605042,10002.0,2810.5550564166783,12607.0,14996.0,18812.5,21738.5,23193.5,requestLatency,2
1657818749207,667,25818.5,12648.992503748126,10001.0,3164.64675167898,11599.0,13229.0,21386.5,24508.5,25818.5,requestLatency,3
1657818749207,584,20687.5,12751.889554794521,10002.0,2244.7974615086528,12207.0,14040.0,17281.5,18966.5,20687.5,requestLatency,4
1657818749207,719,45277.5,12641.512517385258,10007.0,3719.1927952879823,11695.0,13248.0,17356.5,29612.5,45277.5,requestLatency,5
1657818749207,966,24478.5,13513.003623188406,10003.0,2805.8810445319086,12862.0,15039.0,19308.5,21403.5,24478.5,requestLatency,6
1657818749207,480,22455.5,12103.564583333333,10002.0,2074.121701918829,11394.0,12908.0,16597.5,19275.5,22455.5,requestLatency,7
1657818749207,485,22193.5,12921.88556701031,10005.0,2364.02775700163,12368.0,14646.0,17151.5,19393.5,22193.5,requestLatency,8
1657818749207,1348,23823.5,13161.520400593472,10012.0,2853.9424734622085,12322.0,14814.0,19013.5,22059.5,23823.5,requestLatency,9
1657818749207,512,38959.5,13490.453125,10002.0,4634.056416872356,12029.0,14390.0,20362.5,35403.5,38959.5,requestLatency,10
1657818809207,124,17897.5,12046.181451612903,10005.0,1917.13691029126,11477.0,12798.0,16821.5,17885.5,17897.5,requestLatency,11
1657818809207,1182,32657.5,12655.188663282572,10001.0,2985.8927603116113,11799.0,13569.0,17910.5,27914.5,32657.5,requestLatency,12
1657818809207,324,24541.5,12414.762345679012,10006.0,2215.3014430645508,11813.0,13356.0,16691.5,20851.5,24541.5,requestLatency,13
1657818809207,583,25678.5,13317.505145797599,10001.0,3002.254600047598,12584.0,15005.0,19325.5,22271.5,25678.5,requestLatency,14
1657818809207,883,20949.5,12452.47678369196,10001.0,2132.860677100312,11824.0,13598.0,16812.5,18566.5,20949.5,requestLatency,15
1657818809207,121,22190.5,11708.239669421488,10009.0,2334.9127367019764,10954.0,11834.0,17213.5,21736.5,22190.5,requestLatency,16
1657818809207,789,25503.5,13144.184410646389,10002.0,2781.654042278264,12428.0,14435.0,19033.5,21423.5,25503.5,requestLatency,0
1657818809207,639,49527.5,14131.730046948356,10001.0,6103.984150766293,12335.0,14375.0,27587.5,41073.5,49527.5,requestLatency,1
1657818809207,607,25108.5,13308.29406919275,10002.0,3006.068844020299,12319.0,14445.0,19727.5,22802.5,25108.5,requestLatency,2
1657818809207,574,19447.5,11708.672473867597,10002.0,1671.8176320973052,11145.0,12344.0,15512.0,16870.5,19447.5,requestLatency,3
1657818809207,698,22015.5,13043.962034383954,10004.0,2500.047768667961,12309.0,14353.0,18369.5,20327.5,22015.5,requestLatency,4
1657818809207,657,30145.5,12178.174277016742,10001.0,2703.1935353656686,11419.0,12802.0,16719.5,25090.5,30145.5,requestLatency,5
1657818809207,864,24493.5,13243.108217592593,10007.0,2728.637352536429,12581.0,14748.0,18546.5,20654.5,24493.5,requestLatency,6
1657818809207,378,38241.5,12704.752645502645,10011.0,4170.791741423167,11417.0,12937.0,22313.5,34811.5,38241.5,requestLatency,7
