t,count,max,mean,min,stddev,p50,p75,p95,p99,p999,metricName,pkRangeId
1657818569207,983,29563.75,11775.045778229909,4352.0,2840.2183930614956,10998.25,12484.25,16683.75,24687.75,29563.75,transitTimeLatency,11
1657818569207,3308,29791.875,12816.192261185006,3757.0,3210.419128837819,11839.375,14104.375,19313.875,24064.875,29791.875,transitTimeLatency,12
1657818569207,1089,72899.875,14150.218893480258,3044.0,8723.716053283526,11930.375,14609.375,20782.875,67811.875,72899.875,transitTimeLatency,13
1657818569207,4722,159863.75,14348.409783989835,4239.0,12647.8407810439,11849.25,14057.25,20831.75,89275.75,159863.75,transitTimeLatency,14
1657818569207,3392,40731.875,12463.795880011792,2398.0,3085.528879220391,11581.375,13603.375,18144.875,24442.875,40731.875,transitTimeLatency,15
1657818569207,2303,39895.75,12500.079353017803,4368.0,3532.759913427581,11534.25,13468.25,18322.75,29945.75,39895.75,transitTimeLatency,16
1657818569207,3455,35875.875,12955.542004341534,4084.0,3382.710195848529,12006.375,14362.375,19581.875,24491.875,35875.875,transitTimeLatency,0
1657818569207,1067,108431.75,15022.805763823804,4398.0,11223.440183538838,12267.25,14555.25,29348.75,84007.75,108431.75,transitTimeLatency,1
1657818569207,1490,29450.75,12658.259228187919,4126.0,2988.2026620731745,11864.25,14110.25,18765.75,21818.75,29450.75,transitTimeLatency,2
1657818569207,797,72519.875,13475.654171894605,3819.0,9326.810625437061,11173.375,12862.375,25378.875,64555.875,72519.875,transitTimeLatency,3
1657818569207,3189,28124.75,12941.038805268108,4243.0,2933.014174773647,12179.25,14502.25,18681.75,21717.75,28124.75,transitTimeLatency,4
1657818569207,1759,40197.875,14405.299744172826,4047.0,5503.815016364655,12365.375,16252.375,26422.875,33463.875,40197.875,transitTimeLatency,5
1657818569207,2367,87631.75,14522.588403041826,4377.0,7724.420678522438,12787.25,15771.25,22652.75,53847.75,87631.75,transitTimeLatency,6
1657818569207,1420,35235.75,12066.554049295775,4139.0,3058.250157567234,11240.25,12827.25,17140.75,23185.75,35235.75,transitTimeLatency,7
1657818569207,1495,38389.875,12680.31847826087,2553.0,2934.0838418979956,12012.375,14142.375,18457.875,20898.875,38389.875,transitTimeLatency,8
1657818569207,8257,37621.75,13781.695954947318,4403.0,3558.4532227321583,12898.25,15585.25,20725.75,24969.75,37621.75,transitTimeLatency,9
1657818569207,1570,27551.75,12283.246337579618,4307.0,2682.866763328291,11527.25,13331.25,17855.75,21517.75,27551.75,transitTimeLatency,10
1657818629207,656,21018.75,11487.118902439024,4703.0,1936.9942406277348,11011.25,12303.25,15061.25,18535.75,21018.75,transitTimeLatency,11
1657818629207,662,23264.75,12259.574018126888,4401.0,2414.787364170763,11590.25,13465.25,17099.75,19868.75,23264.75,transitTimeLatency,12
1657818629207,300,25712.75,13180.616666666667,4371.0,3813.953173563998,11988.25,14889.25,21090.75,24884.75,25712.75,transitTimeLatency,13
1657818629207,881,25097.75,12878.804199772985,4776.0,3036.1156832041956,12017.25,14241.25,19263.75,23413.75,25097.75,transitTimeLatency,14
